home_team,away_team,1,x,2,winning_index,winning odd,year
Skënderbeu,Tirana,1.95,3.1,4.6,1,1.95,2016-2017
Flamurtari,Partizani,3.37,2.8,2.5,x,2.8,2016-2017
Teuta,Vllaznia,2.25,3,3.5,x,3,2016-2017
Luftëtari,Kukësi,3.4,2.8,2.15,x,2.8,2016-2017
Laçi,Teuta,1.95,3,4.6,2,4.6,2016-2017
Vllaznia,Tirana,3.1,2.8,2.5,x,2.8,2016-2017
Korabi,Flamurtari,4.15,2.9,1.9,1,4.15,2016-2017
Skënderbeu,Partizani,2.4,2.62,3.65,2,3.65,2016-2017
Vllaznia,Kukësi,4.5,2.9,2.05,2,2.05,2016-2017
Teuta,Tirana,2.5,2.9,3.1,1,2.5,2016-2017
Korabi,Skënderbeu,10.5,3.7,1.35,2,1.35,2016-2017
Flamurtari,Luftëtari,2.22,3,3.2,1,2.22,2016-2017
Teuta,Partizani,3.7,2.9,2.25,x,2.9,2016-2017
Skënderbeu,Laçi,1.35,4.6,17,1,1.35,2016-2017
Vllaznia,Flamurtari,2.3,2.9,3.4,1,2.3,2016-2017
Laçi,Kukësi,3.8,3,2.2,x,3,2016-2017
Partizani,Tirana,1.83,2.9,5.75,1,1.83,2016-2017
Tirana,Flamurtari,1.91,3.2,4.75,x,3.2,2016-2017
Tirana,Skënderbeu,4.33,3,1.95,x,3,2016-2017
Skënderbeu,Kukësi,2.1,2.9,5,x,2.9,2016-2017
Laçi,Flamurtari,2.5,2.9,2.75,1,2.5,2016-2017
Tirana,Vllaznia,2.4,2.8,3.4,2,3.4,2016-2017
Partizani,Skënderbeu,2.2,2.9,3.8,1,2.2,2016-2017
Flamurtari,Skënderbeu,3.1,2.9,2.63,2,2.63,2016-2017
Tirana,Teuta,1.95,3.1,4.33,x,3.1,2016-2017
Vllaznia,Partizani,5,2.8,2.01,x,2.8,2016-2017
Partizani,Teuta,1.48,4.5,12,1,1.48,2016-2017
Tirana,Partizani,9,3.2,1.57,2,1.57,2016-2017
Teuta,Flamurtari,1.95,3.15,3.8,x,3.15,2016-2017
Kukësi,Flamurtari,1.29,5,13,1,1.29,2016-2017
Vllaznia,Luftëtari,2.25,3,2.9,x,3,2016-2017
Teuta,Skënderbeu,5.41,3.68,1.83,2,1.83,2016-2017
Partizani,Laçi,1.23,5.1,13,x,5.1,2016-2017
Laçi,Vllaznia,1.44,3.7,9.75,1,1.44,2016-2017
Luftëtari,Teuta,2,3.2,3.45,x,3.2,2016-2017
Skënderbeu,Tirana,1.48,3.9,6.5,1,1.48,2016-2017
Flamurtari,Partizani,3.3,3.25,2.15,x,3.25,2016-2017
Partizani,Flamurtari,1.67,3.5,5.8,1,1.67,2015-2016
Vllaznia,Skënderbeu,6.5,3.13,1.64,2,1.64,2015-2016
Tirana,Bylis,1.18,6.25,9.65,x,6.25,2015-2016
Skënderbeu,Tirana,1.5,3.5,7.25,1,1.5,2015-2016
Laçi,Skënderbeu,3.45,2.95,2.25,2,2.25,2015-2016
Tërbuni,Bylis,2.4,3.6,2.6,1,2.4,2015-2016
Vllaznia,Teuta,2.45,3.2,2.6,2,2.6,2015-2016
Flamurtari,Partizani,6,4,1.5,x,4,2015-2016
Kukësi,Skënderbeu,2.7,3.2,2.5,1,2.7,2015-2016
Bylis,Tirana,4.33,4,1.7,2,1.7,2015-2016
Laçi,Flamurtari,1.62,3.8,5.75,1,1.62,2015-2016
Partizani,Vllaznia,1.07,12,29,1,1.07,2015-2016
Teuta,Kukësi,3.2,3.4,2.2,1,3.2,2015-2016
Tërbuni,Teuta,3.5,3.5,1.83,2,1.83,2015-2016
Kukësi,Partizani,2.38,3,2.75,2,2.75,2015-2016
Vllaznia,Flamurtari,1.8,3.4,3.75,1,1.8,2015-2016
Bylis,Laçi,2.5,3.2,2.5,1,2.5,2015-2016
Tirana,Skënderbeu,3.6,3.2,2.25,2,2.25,2015-2016
Flamurtari,Kukësi,6.5,4,1.5,2,1.5,2015-2016
Laçi,Vllaznia,1.65,4.3,8.5,1,1.65,2015-2016
Partizani,Tërbuni,1.17,7.5,17,1,1.17,2015-2016
Teuta,Tirana,2.3,3.1,3.4,x,3.1,2015-2016
Skënderbeu,Bylis,1.12,8.5,21,1,1.12,2015-2016
Tërbuni,Flamurtari,2.4,3.2,2.9,1,2.4,2015-2016
Kukësi,Vllaznia,1.4,4.33,7.5,1,1.4,2015-2016
Tirana,Partizani,3.1,2.85,2.9,x,2.85,2015-2016
Laçi,Kukësi,2,2.9,4.4,x,2.9,2015-2016
Vllaznia,Tërbuni,1.44,4.2,7.5,1,1.44,2015-2016
Flamurtari,Tirana,9,3.9,1.44,2,1.44,2015-2016
Teuta,Skënderbeu,5.25,3.6,1.67,2,1.67,2015-2016
Teuta,Laçi,5.5,3.5,1.75,2,1.75,2015-2016
Bylis,Flamurtari,2.16,3.2,3.5,2,3.5,2015-2016
Tërbuni,Kukësi,5,3.6,1.7,x,3.6,2015-2016
Tirana,Vllaznia,1.33,4.5,13,x,4.5,2015-2016
Vllaznia,Bylis,1.6,3.6,6.55,1,1.6,2015-2016
Laçi,Tërbuni,1.15,7.5,19,1,1.15,2015-2016
Kukësi,Tirana,2.05,3,4.5,2,4.5,2015-2016
Flamurtari,Skënderbeu,9,4,1.45,1,9,2015-2016
Partizani,Teuta,1.36,4.2,11,2,11,2015-2016
Vllaznia,Skënderbeu,7,3.8,1.5,1,7,2015-2016
Tërbuni,Tirana,4.2,3.6,1.8,2,1.8,2015-2016
