home_team,ft_home,ft_away,away_team,ht_home,ht_away,year
Skënderbeu,0,1,Partizani,0,0,2015-2016
Flamurtari,2,1,Tirana,1,0,2015-2016
Partizani,1,2,Bylis,0,1,2015-2016
Teuta,1,1,Skënderbeu,0,1,2015-2016
Laçi,1,1,Kukësi,0,0,2015-2016
Vllaznia,2,0,Tërbuni,2,0,2015-2016
Tirana,2,2,Partizani,1,1,2015-2016
Bylis,0,1,Teuta,0,1,2015-2016
Kukësi,0,0,Vllaznia,0,0,2015-2016
Skënderbeu,6,1,Laçi,6,0,2015-2016
Tërbuni,0,2,Flamurtari,0,2,2015-2016
Partizani,4,0,Tërbuni,2,0,2015-2016
Skënderbeu,3,0,Bylis,2,0,2015-2016
Laçi,3,2,Vllaznia,2,1,2015-2016
Flamurtari,0,1,Kukësi,0,0,2015-2016
Teuta,0,0,Tirana,0,0,2015-2016
Tirana,0,1,Skënderbeu,0,0,2015-2016
Bylis,1,0,Laçi,0,0,2015-2016
Kukësi,0,1,Partizani,0,0,2015-2016
Tërbuni,1,4,Teuta,1,2,2015-2016
Vllaznia,2,1,Flamurtari,1,0,2015-2016
Partizani,3,0,Vllaznia,0,0,2015-2016
Bylis,0,0,Tirana,0,0,2015-2016
Skënderbeu,2,3,Tërbuni,0,2,2015-2016
Teuta,0,0,Kukësi,0,0,2015-2016
Laçi,1,2,Flamurtari,1,0,2015-2016
Flamurtari,1,1,Partizani,0,1,2015-2016
Tirana,1,0,Laçi,1,0,2015-2016
Kukësi,1,0,Skënderbeu,1,0,2015-2016
Tërbuni,0,1,Bylis,0,1,2015-2016
Vllaznia,0,2,Teuta,0,1,2015-2016
Tirana,3,0,Tërbuni,1,0,2015-2016
Skënderbeu,2,1,Vllaznia,1,0,2015-2016
Teuta,1,1,Flamurtari,1,0,2015-2016
Bylis,0,2,Kukësi,0,2,2015-2016
Laçi,0,0,Partizani,0,0,2015-2016
Tirana,1,1,Kukësi,1,0,2015-2016
Skënderbeu,5,1,Flamurtari,1,1,2015-2016
Teuta,0,2,Partizani,0,0,2015-2016
Bylis,0,1,Vllaznia,0,1,2015-2016
Tërbuni,1,1,Laçi,0,0,2015-2016
Partizani,1,1,Skënderbeu,1,0,2015-2016
Flamurtari,0,0,Bylis,0,0,2015-2016
Kukësi,1,0,Tërbuni,0,0,2015-2016
Laçi,1,2,Teuta,0,1,2015-2016
Vllaznia,3,1,Tirana,2,1,2015-2016
Skënderbeu,1,0,Teuta,1,0,2015-2016
Bylis,0,2,Partizani,0,1,2015-2016
Tirana,0,0,Flamurtari,0,0,2015-2016
Kukësi,1,0,Laçi,0,0,2015-2016
Tërbuni,0,4,Vllaznia,0,1,2015-2016
Flamurtari,1,1,Tërbuni,0,0,2015-2016
Laçi,0,2,Skënderbeu,0,1,2015-2016
Teuta,1,0,Bylis,0,0,2015-2016
Vllaznia,1,2,Kukësi,1,1,2015-2016
Partizani,2,0,Tirana,2,0,2015-2016
Bylis,1,1,Skënderbeu,1,0,2015-2016
Tirana,0,0,Teuta,0,0,2015-2016
Kukësi,4,0,Flamurtari,1,0,2015-2016
Tërbuni,0,0,Partizani,0,0,2015-2016
Vllaznia,0,0,Laçi,0,0,2015-2016
Partizani,1,0,Kukësi,0,0,2015-2016
Skënderbeu,1,0,Tirana,0,0,2015-2016
Flamurtari,2,0,Vllaznia,1,0,2015-2016
Laçi,0,1,Bylis,0,0,2015-2016
Teuta,2,1,Tërbuni,1,0,2015-2016
Flamurtari,0,1,Laçi,0,0,2015-2016
Tirana,2,0,Bylis,0,0,2015-2016
Kukësi,2,2,Teuta,1,1,2015-2016
Tërbuni,1,3,Skënderbeu,0,1,2015-2016
Vllaznia,1,1,Partizani,0,1,2015-2016
Teuta,1,0,Vllaznia,1,0,2015-2016
Laçi,0,3,Tirana,0,0,2015-2016
Skënderbeu,3,1,Kukësi,2,0,2015-2016
Partizani,1,1,Flamurtari,0,1,2015-2016
Bylis,4,0,Tërbuni,2,0,2015-2016
Flamurtari,1,0,Teuta,0,0,2015-2016
Kukësi,3,0,Bylis,1,0,2015-2016
Partizani,2,0,Laçi,1,0,2015-2016
Tërbuni,1,3,Tirana,0,1,2015-2016
Vllaznia,1,0,Skënderbeu,0,0,2015-2016
Flamurtari,3,1,Skënderbeu,1,0,2015-2016
Partizani,0,1,Teuta,0,1,2015-2016
Kukësi,0,1,Tirana,0,1,2015-2016
Laçi,4,0,Tërbuni,1,0,2015-2016
Vllaznia,3,2,Bylis,2,0,2015-2016
Skënderbeu,1,0,Partizani,1,0,2015-2016
Bylis,2,3,Flamurtari,0,2,2015-2016
Tirana,0,0,Vllaznia,0,0,2015-2016
Tërbuni,1,1,Kukësi,0,0,2015-2016
Teuta,0,1,Laçi,0,1,2015-2016
Teuta,0,1,Skënderbeu,0,0,2015-2016
Flamurtari,0,2,Tirana,0,2,2015-2016
Partizani,1,1,Bylis,0,1,2015-2016
Laçi,1,1,Kukësi,0,0,2015-2016
Vllaznia,2,0,Tërbuni,1,0,2015-2016
Bylis,2,1,Teuta,1,0,2015-2016
Tirana,0,0,Partizani,0,0,2015-2016
Skënderbeu,4,0,Laçi,2,0,2015-2016
Kukësi,1,0,Vllaznia,0,0,2015-2016
Tërbuni,1,0,Flamurtari,0,0,2015-2016
Skënderbeu,4,0,Bylis,1,0,2015-2016
Teuta,0,0,Tirana,0,0,2015-2016
Partizani,4,0,Tërbuni,1,0,2015-2016
Flamurtari,0,1,Kukësi,0,1,2015-2016
Laçi,2,0,Vllaznia,1,0,2015-2016
Tirana,1,2,Skënderbeu,0,1,2015-2016
Bylis,1,0,Laçi,1,0,2015-2016
Kukësi,0,1,Partizani,0,1,2015-2016
Tërbuni,0,1,Teuta,0,0,2015-2016
Vllaznia,4,0,Flamurtari,2,0,2015-2016
Partizani,1,0,Vllaznia,0,0,2015-2016
Teuta,1,0,Kukësi,1,0,2015-2016
Bylis,0,1,Tirana,0,1,2015-2016
Laçi,2,1,Flamurtari,0,1,2015-2016
Skënderbeu,4,0,Tërbuni,2,0,2015-2016
Tirana,0,0,Laçi,0,0,2015-2016
Kukësi,2,1,Skënderbeu,1,0,2015-2016
Flamurtari,0,0,Partizani,0,0,2015-2016
Tërbuni,4,2,Bylis,3,0,2015-2016
Vllaznia,0,1,Teuta,0,0,2015-2016
Skënderbeu,3,1,Vllaznia,1,1,2015-2016
Bylis,1,1,Kukësi,0,0,2015-2016
Laçi,2,3,Partizani,2,2,2015-2016
Teuta,3,1,Flamurtari,1,1,2015-2016
Tirana,3,0,Tërbuni,1,0,2015-2016
Teuta,0,1,Partizani,0,0,2015-2016
Tirana,2,1,Kukësi,1,1,2015-2016
Skënderbeu,2,0,Flamurtari,0,0,2015-2016
Bylis,3,1,Vllaznia,1,1,2015-2016
Tërbuni,1,1,Laçi,0,1,2015-2016
Partizani,2,1,Skënderbeu,2,1,2015-2016
Laçi,2,2,Teuta,0,0,2015-2016
Flamurtari,0,0,Bylis,0,0,2015-2016
Kukësi,1,0,Tërbuni,1,0,2015-2016
Vllaznia,1,1,Tirana,0,1,2015-2016
Tirana,1,1,Flamurtari,1,0,2015-2016
Bylis,1,2,Partizani,1,1,2015-2016
Kukësi,1,0,Laçi,0,0,2015-2016
Tërbuni,0,3,Vllaznia,0,1,2015-2016
Skënderbeu,2,2,Teuta,2,2,2015-2016
Laçi,0,3,Skënderbeu,0,1,2015-2016
Teuta,3,0,Bylis,3,0,2015-2016
Flamurtari,7,0,Tërbuni,2,0,2015-2016
Partizani,1,0,Tirana,0,0,2015-2016
Vllaznia,1,1,Kukësi,0,0,2015-2016
Kukësi,1,0,Flamurtari,0,0,2015-2016
Vllaznia,0,1,Laçi,0,1,2015-2016
Tirana,2,0,Teuta,2,0,2015-2016
Bylis,1,4,Skënderbeu,0,1,2015-2016
Tërbuni,1,2,Partizani,0,1,2015-2016
Skënderbeu,2,1,Tirana,1,1,2015-2016
Flamurtari,2,0,Vllaznia,2,0,2015-2016
Laçi,3,1,Bylis,1,1,2015-2016
Partizani,2,0,Kukësi,1,0,2015-2016
Teuta,3,1,Tërbuni,2,1,2015-2016
Flamurtari,0,0,Laçi,0,0,2015-2016
Vllaznia,1,2,Partizani,1,1,2015-2016
Tirana,0,0,Bylis,0,0,2015-2016
Kukësi,3,0,Teuta,1,0,2015-2016
Tërbuni,0,2,Skënderbeu,0,0,2015-2016
Vllaznia,0,1,Skënderbeu,0,1,2015-2016
Bylis,0,2,Tërbuni,0,1,2015-2016
Skënderbeu,1,0,Kukësi,0,0,2015-2016
Teuta,2,0,Vllaznia,1,0,2015-2016
Laçi,1,1,Tirana,1,0,2015-2016
Partizani,2,1,Flamurtari,0,0,2015-2016
Kukësi,2,0,Bylis,1,0,2015-2016
Tërbuni,1,2,Tirana,1,1,2015-2016
Flamurtari,0,1,Teuta,0,0,2015-2016
Partizani,1,1,Laçi,0,0,2015-2016
Vllaznia,0,2,Skënderbeu,0,2,2014-2015
Apolonia,1,4,Laçi,0,3,2014-2015
Elbasani,0,3,Partizani,0,1,2014-2015
Flamurtari,1,2,Kukësi,0,0,2014-2015
Tirana,1,0,Teuta,0,0,2014-2015
Kukësi,4,1,Tirana,4,0,2014-2015
Laçi,2,0,Elbasani,1,0,2014-2015
Partizani,1,0,Vllaznia,1,0,2014-2015
Teuta,1,0,Apolonia,0,0,2014-2015
Skënderbeu,2,0,Flamurtari,1,0,2014-2015
Tirana,0,0,Skënderbeu,0,0,2014-2015
Apolonia,4,1,Elbasani,3,1,2014-2015
Flamurtari,0,1,Partizani,0,1,2014-2015
Teuta,2,3,Kukësi,1,2,2014-2015
Vllaznia,0,1,Laçi,0,1,2014-2015
Partizani,2,2,Tirana,0,1,2014-2015
Skënderbeu,4,2,Teuta,1,1,2014-2015
Kukësi,2,1,Apolonia,0,0,2014-2015
Laçi,2,1,Flamurtari,1,1,2014-2015
Elbasani,1,1,Vllaznia,0,0,2014-2015
Tirana,1,0,Laçi,0,0,2014-2015
Kukësi,0,1,Skënderbeu,0,0,2014-2015
Apolonia,2,0,Vllaznia,0,0,2014-2015
Teuta,0,1,Partizani,0,0,2014-2015
Flamurtari,2,1,Elbasani,1,0,2014-2015
Partizani,1,1,Kukësi,1,0,2014-2015
Skënderbeu,1,0,Apolonia,0,0,2014-2015
Elbasani,1,3,Tirana,1,1,2014-2015
Vllaznia,1,1,Flamurtari,0,1,2014-2015
Laçi,1,0,Teuta,0,0,2014-2015
Skënderbeu,5,2,Partizani,2,1,2014-2015
Kukësi,0,0,Laçi,0,0,2014-2015
Tirana,2,1,Vllaznia,0,1,2014-2015
Apolonia,2,1,Flamurtari,1,1,2014-2015
Teuta,1,0,Elbasani,0,0,2014-2015
Flamurtari,1,2,Tirana,0,1,2014-2015
Partizani,1,0,Apolonia,0,0,2014-2015
Laçi,1,0,Skënderbeu,0,0,2014-2015
Elbasani,0,4,Kukësi,0,2,2014-2015
Vllaznia,1,0,Teuta,1,0,2014-2015
Partizani,1,0,Laçi,0,0,2014-2015
Apolonia,0,2,Tirana,0,1,2014-2015
Skënderbeu,5,1,Elbasani,2,1,2014-2015
Kukësi,1,0,Vllaznia,0,0,2014-2015
Teuta,1,0,Flamurtari,0,0,2014-2015
Partizani,4,1,Elbasani,0,1,2014-2015
Teuta,0,0,Tirana,0,0,2014-2015
Kukësi,4,0,Flamurtari,0,0,2014-2015
Laçi,2,0,Apolonia,1,0,2014-2015
Skënderbeu,3,1,Vllaznia,0,0,2014-2015
Tirana,1,2,Partizani,,,2014-2015
Flamurtari,0,2,Laçi,0,0,2014-2015
Flamurtari,0,1,Skënderbeu,0,0,2014-2015
Tirana,2,0,Kukësi,0,0,2014-2015
Vllaznia,1,0,Partizani,0,0,2014-2015
Apolonia,2,1,Teuta,1,0,2014-2015
Elbasani,0,2,Laçi,0,1,2014-2015
Elbasani,0,1,Apolonia,0,1,2014-2015
Skënderbeu,1,0,Tirana,0,0,2014-2015
Kukësi,5,2,Teuta,1,0,2014-2015
Laçi,1,0,Vllaznia,1,0,2014-2015
Partizani,2,1,Flamurtari,0,1,2014-2015
Apolonia,2,2,Kukësi,2,0,2014-2015
Teuta,0,1,Skënderbeu,0,1,2014-2015
Vllaznia,1,1,Elbasani,1,0,2014-2015
Skënderbeu,1,1,Kukësi,0,0,2014-2015
Elbasani,0,1,Flamurtari,0,0,2014-2015
Laçi,3,0,Tirana,2,0,2014-2015
Partizani,2,1,Teuta,2,1,2014-2015
Vllaznia,2,0,Apolonia,0,0,2014-2015
Apolonia,0,1,Skënderbeu,0,1,2014-2015
Flamurtari,3,0,Vllaznia,1,0,2014-2015
Tirana,2,0,Elbasani,0,0,2014-2015
Kukësi,3,0,Partizani,2,0,2014-2015
Teuta,1,3,Laçi,0,1,2014-2015
Partizani,0,0,Skënderbeu,0,0,2014-2015
Flamurtari,1,0,Apolonia,1,0,2014-2015
Vllaznia,0,1,Tirana,0,0,2014-2015
Elbasani,1,0,Teuta,0,0,2014-2015
Laçi,2,1,Kukësi,1,1,2014-2015
Apolonia,0,2,Partizani,0,2,2014-2015
Kukësi,3,0,Elbasani,1,0,2014-2015
Skënderbeu,0,0,Laçi,0,0,2014-2015
Teuta,2,1,Vllaznia,1,0,2014-2015
Tirana,1,0,Flamurtari,0,0,2014-2015
Elbasani,1,4,Skënderbeu,0,2,2014-2015
Laçi,1,1,Partizani,1,0,2014-2015
Flamurtari,2,1,Teuta,1,1,2014-2015
Vllaznia,1,2,Kukësi,0,1,2014-2015
Tirana,2,0,Apolonia,1,0,2014-2015
Flamurtari,0,1,Kukësi,0,1,2014-2015
Tirana,4,2,Teuta,2,1,2014-2015
Vllaznia,0,1,Skënderbeu,0,0,2014-2015
Elbasani,0,1,Partizani,0,1,2014-2015
Apolonia,0,2,Laçi,0,0,2014-2015
Partizani,0,1,Vllaznia,0,1,2014-2015
Skënderbeu,1,0,Flamurtari,0,0,2014-2015
Kukësi,1,0,Tirana,1,0,2014-2015
Laçi,1,0,Elbasani,0,0,2014-2015
Teuta,1,0,Apolonia,1,0,2014-2015
Apolonia,0,1,Elbasani,0,0,2014-2015
Flamurtari,1,0,Partizani,0,0,2014-2015
Tirana,2,0,Skënderbeu,1,0,2014-2015
Vllaznia,1,0,Laçi,0,0,2014-2015
Teuta,0,3,Kukësi,0,3,2014-2015
Partizani,2,0,Tirana,2,0,2014-2015
Elbasani,1,4,Vllaznia,0,1,2014-2015
Laçi,1,1,Flamurtari,1,0,2014-2015
Kukësi,0,0,Apolonia,0,0,2014-2015
Skënderbeu,3,2,Teuta,1,0,2014-2015
Flamurtari,2,0,Elbasani,0,0,2014-2015
Teuta,0,1,Partizani,0,0,2014-2015
Tirana,0,0,Laçi,0,0,2014-2015
Kukësi,1,0,Skënderbeu,0,0,2014-2015
Apolonia,0,1,Vllaznia,0,1,2014-2015
Elbasani,2,3,Tirana,2,2,2014-2015
Partizani,2,0,Kukësi,2,0,2014-2015
Laçi,3,0,Teuta,2,0,2014-2015
Skënderbeu,6,0,Apolonia,2,0,2014-2015
Vllaznia,1,0,Flamurtari,1,0,2014-2015
Apolonia,1,1,Flamurtari,0,1,2014-2015
Kukësi,1,0,Laçi,0,0,2014-2015
Tirana,1,0,Vllaznia,0,0,2014-2015
Skënderbeu,3,0,Partizani,1,0,2014-2015
Teuta,0,2,Elbasani,0,1,2014-2015
Flamurtari,0,0,Tirana,0,0,2014-2015
Partizani,1,0,Apolonia,0,0,2014-2015
Elbasani,0,2,Kukësi,0,1,2014-2015
Laçi,0,2,Skënderbeu,0,1,2014-2015
Vllaznia,1,2,Teuta,0,2,2014-2015
Apolonia,0,3,Tirana,0,1,2014-2015
Partizani,2,0,Laçi,0,0,2014-2015
Teuta,1,0,Flamurtari,1,0,2014-2015
Kukësi,2,1,Vllaznia,2,1,2014-2015
Skënderbeu,1,0,Elbasani,0,0,2014-2015
Partizani,1,0,Elbasani,1,0,2014-2015
Teuta,0,1,Tirana,0,0,2014-2015
Laçi,3,1,Apolonia,1,1,2014-2015
Kukësi,2,0,Flamurtari,1,0,2014-2015
Skënderbeu,3,0,Vllaznia,1,0,2014-2015
Apolonia,1,0,Teuta,1,0,2014-2015
Vllaznia,0,1,Partizani,0,1,2014-2015
Elbasani,0,2,Laçi,0,1,2014-2015
Tirana,3,1,Kukësi,1,1,2014-2015
Flamurtari,1,1,Skënderbeu,1,1,2014-2015
Elbasani,2,0,Apolonia,1,0,2014-2015
Kukësi,1,0,Teuta,0,0,2014-2015
Laçi,3,0,Vllaznia,1,0,2014-2015
Skënderbeu,0,0,Tirana,0,0,2014-2015
Partizani,0,0,Flamurtari,0,0,2014-2015
Flamurtari,1,1,Laçi,1,1,2014-2015
Teuta,2,0,Skënderbeu,2,0,2014-2015
Vllaznia,1,0,Elbasani,1,0,2014-2015
Tirana,0,0,Partizani,0,0,2014-2015
Apolonia,0,1,Kukësi,0,1,2014-2015
Elbasani,0,2,Flamurtari,0,0,2014-2015
Laçi,2,0,Tirana,1,0,2014-2015
Vllaznia,2,0,Apolonia,2,0,2014-2015
Partizani,2,0,Teuta,2,0,2014-2015
Skënderbeu,2,0,Kukësi,0,0,2014-2015
Apolonia,0,0,Skënderbeu,0,0,2014-2015
Teuta,0,0,Laçi,0,0,2014-2015
Flamurtari,0,0,Vllaznia,0,0,2014-2015
Tirana,2,1,Elbasani,1,1,2014-2015
Kukësi,0,1,Partizani,0,0,2014-2015
Partizani,1,0,Skënderbeu,0,0,2014-2015
Vllaznia,1,1,Tirana,1,0,2014-2015
Elbasani,1,5,Teuta,0,2,2014-2015
Flamurtari,3,0,Apolonia,0,0,2014-2015
Laçi,0,0,Kukësi,0,0,2014-2015
Kukësi,3,0,Elbasani,1,0,2014-2015
Teuta,0,1,Vllaznia,0,0,2014-2015
Tirana,1,0,Flamurtari,0,0,2014-2015
Apolonia,1,0,Partizani,0,0,2014-2015
Skënderbeu,2,0,Laçi,0,0,2014-2015
Tirana,3,0,Apolonia,1,0,2014-2015
Laçi,1,1,Partizani,0,0,2014-2015
Vllaznia,1,2,Kukësi,1,1,2014-2015
Flamurtari,2,1,Teuta,2,0,2014-2015
Elbasani,0,1,Skënderbeu,0,1,2014-2015
Kastrioti,1,3,Flamurtari,1,1,2013-2014
Lushnja,2,4,Partizani,0,0,2013-2014
Skënderbeu,1,2,Laçi,1,2,2013-2014
Vllaznia,1,3,Teuta,1,0,2013-2014
Besa,0,0,Vllaznia,0,0,2013-2014
Flamurtari,2,2,Tirana,1,1,2013-2014
Kukësi,4,1,Lushnja,3,1,2013-2014
Laçi,6,0,Kastrioti,2,0,2013-2014
Partizani,1,2,Skënderbeu,0,0,2013-2014
Kastrioti,2,3,Tirana,0,2,2013-2014
Laçi,2,0,Partizani,0,0,2013-2014
Lushnja,0,2,Teuta,0,1,2013-2014
Skënderbeu,3,3,Kukësi,1,0,2013-2014
Vllaznia,1,0,Flamurtari,0,0,2013-2014
Besa,3,0,Lushnja,1,0,2013-2014
Tirana,2,1,Vllaznia,1,1,2013-2014
Kukësi,1,1,Laçi,1,0,2013-2014
Partizani,1,0,Kastrioti,0,0,2013-2014
Teuta,2,1,Skënderbeu,0,0,2013-2014
Partizani,1,0,Kukësi,1,0,2013-2014
Skënderbeu,1,0,Besa,0,0,2013-2014
Laçi,1,0,Teuta,1,0,2013-2014
Lushnja,2,3,Flamurtari,1,2,2013-2014
Kastrioti,2,4,Vllaznia,1,2,2013-2014
Flamurtari,1,0,Skënderbeu,0,0,2013-2014
Teuta,3,1,Partizani,1,0,2013-2014
Kukësi,2,1,Kastrioti,0,0,2013-2014
Tirana,1,0,Lushnja,1,0,2013-2014
Besa,0,0,Laçi,0,0,2013-2014
Partizani,1,0,Besa,0,0,2013-2014
Skënderbeu,2,3,Tirana,0,2,2013-2014
Kukësi,3,0,Teuta,1,0,2013-2014
Laçi,0,1,Flamurtari,0,0,2013-2014
Flamurtari,0,0,Partizani,0,0,2013-2014
Besa,0,1,Kukësi,0,0,2013-2014
Teuta,1,0,Kastrioti,1,0,2013-2014
Vllaznia,1,0,Skënderbeu,1,0,2013-2014
Tirana,2,0,Laçi,1,0,2013-2014
Partizani,1,1,Tirana,0,1,2013-2014
Kukësi,4,2,Flamurtari,1,1,2013-2014
Teuta,1,0,Besa,0,0,2013-2014
Flamurtari,0,0,Teuta,0,0,2013-2014
Tirana,1,2,Kukësi,0,0,2013-2014
Besa,1,1,Kastrioti,0,0,2013-2014
Vllaznia,0,1,Partizani,0,1,2013-2014
Lushnja,2,4,Skënderbeu,1,3,2013-2014
Teuta,1,1,Tirana,1,1,2013-2014
Besa,3,1,Flamurtari,3,0,2013-2014
Partizani,2,0,Bylis,2,0,2013-2014
Kukësi,1,1,Vllaznia,0,1,2013-2014
Laçi,1,0,Lushnja,1,0,2013-2014
Skënderbeu,3,1,Kastrioti,2,0,2013-2014
Tirana,3,1,Kukësi,1,1,2013-2014
Laçi,1,0,Kastrioti,1,0,2013-2014
Lushnja,2,4,Flamurtari,1,2,2013-2014
Skënderbeu,2,1,Bylis,1,1,2013-2014
Teuta,1,1,Partizani,0,0,2013-2014
Vllaznia,0,0,Besa,0,0,2013-2014
Flamurtari,1,1,Tirana,0,1,2013-2014
Bylis,0,0,Vllaznia,0,0,2013-2014
Kukësi,1,0,Laçi,1,0,2013-2014
Partizani,0,0,Skënderbeu,0,0,2013-2014
Besa,1,1,Lushnja,1,0,2013-2014
Kastrioti,0,0,Teuta,0,0,2013-2014
Tirana,2,1,Besa,2,1,2013-2014
Vllaznia,1,1,Partizani,0,0,2013-2014
Skënderbeu,2,0,Kastrioti,1,0,2013-2014
Kukësi,3,2,Flamurtari,0,1,2013-2014
Laçi,2,1,Teuta,1,0,2013-2014
Lushnja,2,0,Bylis,1,0,2013-2014
Teuta,1,1,Skënderbeu,1,0,2013-2014
Besa,2,0,Kukësi,1,0,2013-2014
Bylis,0,1,Tirana,0,0,2013-2014
Flamurtari,1,1,Laçi,1,1,2013-2014
Kastrioti,3,2,Vllaznia,2,1,2013-2014
Partizani,2,0,Lushnja,2,0,2013-2014
Lushnja,0,0,Kastrioti,0,0,2013-2014
Kukësi,0,0,Bylis,0,0,2013-2014
Laçi,2,2,Skënderbeu,1,0,2013-2014
Flamurtari,1,4,Besa,1,1,2013-2014
Vllaznia,1,1,Teuta,0,1,2013-2014
Tirana,1,0,Partizani,0,0,2013-2014
Teuta,6,2,Lushnja,3,0,2013-2014
Bylis,0,0,Flamurtari,0,0,2013-2014
Skënderbeu,2,1,Vllaznia,2,0,2013-2014
Partizani,0,0,Kukësi,0,0,2013-2014
Besa,2,2,Laçi,0,1,2013-2014
Kastrioti,0,0,Tirana,0,0,2013-2014
Laçi,3,0,Vllaznia,3,0,2013-2014
Besa,2,1,Bylis,1,0,2013-2014
Flamurtari,1,0,Partizani,1,0,2013-2014
Apolonia,0,0,Flamurtari,0,0,2012-2013
Bylis,1,1,Besa,1,0,2012-2013
Kukësi,4,3,Skënderbeu,2,1,2012-2013
Luftëtari,1,2,Shkumbini,0,1,2012-2013
Vllaznia,2,0,Kastrioti,0,0,2012-2013
Laçi,0,0,Tirana,0,0,2012-2013
Tomori,4,1,Teuta,3,0,2012-2013
Besa,1,1,Apolonia,1,0,2012-2013
Flamurtari,3,1,Vllaznia,2,0,2012-2013
Kastrioti,0,3,Kukësi,0,1,2012-2013
Tirana,2,1,Bylis,1,1,2012-2013
Shkumbini,2,1,Tomori,2,0,2012-2013
Skënderbeu,1,0,Luftëtari,0,0,2012-2013
Teuta,1,0,Laçi,0,0,2012-2013
Apolonia,0,0,Tirana,0,0,2012-2013
Bylis,1,2,Teuta,1,0,2012-2013
Kukësi,6,1,Flamurtari,2,0,2012-2013
Laçi,1,0,Shkumbini,0,0,2012-2013
Luftëtari,2,2,Tomori,2,2,2012-2013
Vllaznia,0,1,Besa,0,0,2012-2013
Skënderbeu,2,0,Kastrioti,1,0,2012-2013
Besa,0,2,Kukësi,0,0,2012-2013
Flamurtari,1,0,Skënderbeu,1,0,2012-2013
Kastrioti,1,0,Luftëtari,0,0,2012-2013
Teuta,2,1,Apolonia,0,1,2012-2013
Tirana,1,0,Vllaznia,0,0,2012-2013
Shkumbini,2,1,Bylis,0,1,2012-2013
Tomori,2,0,Laçi,2,0,2012-2013
Vllaznia,2,0,Teuta,2,0,2012-2013
Skënderbeu,2,0,Besa,1,0,2012-2013
Apolonia,1,1,Shkumbini,1,0,2012-2013
Kastrioti,3,0,Flamurtari,1,0,2012-2013
Kukësi,2,1,Tirana,0,0,2012-2013
Luftëtari,0,3,Laçi,0,0,2012-2013
Bylis,4,1,Tomori,3,0,2012-2013
Tirana,1,0,Skënderbeu,0,0,2012-2013
Teuta,1,1,Kukësi,0,1,2012-2013
Flamurtari,3,0,Luftëtari,1,0,2012-2013
Laçi,3,1,Bylis,1,1,2012-2013
Shkumbini,1,0,Vllaznia,1,0,2012-2013
Tomori,1,0,Apolonia,1,0,2012-2013
Besa,2,0,Kastrioti,1,0,2012-2013
Vllaznia,2,1,Tomori,2,1,2012-2013
Kastrioti,0,3,Tirana,0,0,2012-2013
Flamurtari,0,0,Besa,0,0,2012-2013
Skënderbeu,0,0,Teuta,0,0,2012-2013
Apolonia,1,1,Laçi,1,1,2012-2013
Kukësi,5,1,Shkumbini,3,0,2012-2013
Luftëtari,1,1,Bylis,1,1,2012-2013
Besa,2,0,Luftëtari,0,0,2012-2013
Bylis,3,0,Apolonia,1,0,2012-2013
Laçi,2,1,Vllaznia,1,0,2012-2013
Shkumbini,0,1,Skënderbeu,0,1,2012-2013
Tomori,2,5,Kukësi,1,3,2012-2013
Tirana,3,6,Flamurtari,3,1,2012-2013
Teuta,1,0,Kastrioti,0,0,2012-2013
Flamurtari,1,1,Teuta,1,0,2012-2013
Vllaznia,1,0,Bylis,1,0,2012-2013
Besa,2,1,Tirana,1,0,2012-2013
Kukësi,2,1,Laçi,0,0,2012-2013
Kastrioti,1,0,Shkumbini,0,0,2012-2013
Luftëtari,3,2,Apolonia,1,1,2012-2013
Skënderbeu,4,2,Tomori,3,1,2012-2013
Apolonia,1,3,Vllaznia,0,0,2012-2013
Tomori,1,2,Kastrioti,1,1,2012-2013
Tirana,2,1,Luftëtari,1,0,2012-2013
Teuta,1,0,Besa,1,0,2012-2013
Bylis,3,0,Kukësi,1,0,2012-2013
Shkumbini,0,3,Flamurtari,0,1,2012-2013
Laçi,0,2,Skënderbeu,0,0,2012-2013
Besa,1,1,Shkumbini,1,0,2012-2013
Flamurtari,5,2,Tomori,3,0,2012-2013
Tirana,1,1,Teuta,0,0,2012-2013
Kastrioti,2,1,Laçi,1,1,2012-2013
Kukësi,1,0,Apolonia,1,0,2012-2013
Luftëtari,2,1,Vllaznia,1,1,2012-2013
Apolonia,0,1,Skënderbeu,0,1,2012-2013
Bylis,0,0,Kastrioti,0,0,2012-2013
Laçi,1,2,Flamurtari,0,0,2012-2013
Shkumbini,1,0,Tirana,0,0,2012-2013
Vllaznia,1,0,Kukësi,1,0,2012-2013
Teuta,2,0,Luftëtari,0,0,2012-2013
Tomori,1,0,Besa,1,0,2012-2013
Flamurtari,3,0,Bylis,1,0,2012-2013
Kastrioti,4,1,Apolonia,4,0,2012-2013
Tirana,1,0,Tomori,1,0,2012-2013
Luftëtari,1,3,Kukësi,1,2,2012-2013
Teuta,3,0,Shkumbini,1,0,2012-2013
Besa,1,2,Laçi,1,1,2012-2013
Skënderbeu,0,1,Vllaznia,0,0,2012-2013
Flamurtari,3,1,Apolonia,1,0,2012-2013
Besa,1,3,Bylis,0,2,2012-2013
Tirana,2,1,Laçi,0,1,2012-2013
Skënderbeu,2,0,Kukësi,0,0,2012-2013
Kastrioti,3,2,Vllaznia,1,0,2012-2013
Shkumbini,2,1,Luftëtari,0,1,2012-2013
